Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,ingestion_time,pk_id
11,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,2026-08-24T07:01:37.009Z,1abc1e61b9e041dce1108b2fecf7e4867ec4b753cf156e2b21de7b6fe42c39b4
12,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference�phone�- Charcoal black,911.424,4,0.2,68.3568,2026-08-24T07:01:37.009Z,76861402c9e2fd81468b4f40846379ebbacc2af2d2f6ea52ca29ccaf726e823c
13,CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,2026-08-24T07:01:37.009Z,cf7cf8403555f42c921f5098a02c6ed9d32e1b593db97c09d1de292582f381b6
14,CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,2026-08-24T07:01:37.009Z,3e1a5890ddb115d1fa8a9f677d321e570d81bd9fd5bd98e121d854d5c1041686
15,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,2026-08-24T07:01:37.009Z,b2c821ebeca72af27521417b49c9aa5620bdb8a897287fe71fdc3ccf07bbb8ff
16,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,2026-08-24T07:01:37.009Z,4dae122856cb7b03db846aeeaad8d802f9cf5a75f92297a6ab6682add49a1748
17,CA-2014-105893,11/11/2014,11/18/2014,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"\"Stur-D-Stor Shelving, Vertical 5-Shelf: 72\"\"H x 36\"\"W x 18 1/2\"\"D\"",665.88,6,0,13.3176,2026-08-24T07:01:37.009Z,76687304df4e4a7ab90262b297a0f08656e0e4b5b5118cb37059108fcd71a528
18,CA-2014-167164,5/13/2014,5/15/2014,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99,2026-08-24T07:01:37.009Z,d0994707a3c0750de3ed4bb96c67626eb525d46781fbbecfed3a5a4d12e21326
19,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824,2026-08-24T07:01:37.009Z,f86f3edbeb7d9d58c7dd92f3ee1431ddd0f6b1c897c1c02a5b62dd9bcdefc3fb
20,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,2026-08-24T07:01:37.009Z,ded30e0f4f5453e8c8764f7dff27357dc44dcdd07ec46810dbeefe6fe623ae66
21,CA-2014-143336,8/27/2014,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1\"\"",22.72,4,0.2,7.384,2026-08-24T07:01:37.009Z,9b9ad75da939bb428e482130da8d2edb86f8a661e026a2a9fe6fe8204819ffac
22,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596,2026-08-24T07:01:37.009Z,c2f78dbeb97b6b3f1d3dd49fe39c9a0cff2113aa8acbb60732e184919b472e10
23,CA-2016-137330,12/9/2016,12/13/2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884,2026-08-24T07:01:37.009Z,005b5c7e404970610d94cb2a5c50d3ee742f5f1d30701f60a93d3c38435d240a
24,US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,2026-08-24T07:01:37.009Z,6819fb8fc025117d0479ae0671ea8eb06f3f638ddee71454e1dc304aeb50145a
25,CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649,2026-08-24T07:01:37.009Z,243c047cee3bd22906ca2449225edfadbbe52fd4fcff396dc5063129989546cc
26,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,2026-08-24T07:01:37.009Z,5b36273f138ba0f1a9de602e14216745e32dc5fce49854ff6e74cc69e5dbb0ea
27,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation�8GB Mini TravelDrive USB 2.0�Flash Drive,90.57,3,0,11.7741,2026-08-24T07:01:37.009Z,cfa5790c85a04026c2f2d00f6239f3f5bd608c5b02cda1852f422009e3c41f8b
28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,2026-08-24T07:01:37.009Z,6ac0670264b916214cf2df6d5a796c90601cb7c8eeabccd6f8ee406e04902955
29,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,2026-08-24T07:01:37.009Z,722dc59e196855f0ad8902ad52eb8ee6ca8c4344cfd42239c414ef09d5a484c6
30,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"\"Howard Miller 13-3/4\"\" Diameter Brushed Chrome Round Wall Clock\"",124.2,3,0.2,15.525,2026-08-24T07:01:37.009Z,db974e56826ee48bfbcde7af798bf9f51354a85daab99c63fba741301becb633
31,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,2026-08-24T07:01:37.009Z,661f262eb758ac0d55aebff6528a4190a2c05ba20b2d767cd8929cd623cdcb9a
32,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,2026-08-24T07:01:37.009Z,8e88414586a48814b0f451708335d23e3f54a311af8c1b40735aefb4e1f43877
33,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"\"Acco Pressboard Covers with Storage Hooks, 14 7/8\"\" x 11\"\"","Executive Red\"",6.858,6,0.7,2026-08-24T07:01:37.009Z,7d3caa7a717fdc392cd5c24a5f99f32b31fd273d473419b71d5ef106d40d7627
34,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,2026-08-24T07:01:37.009Z,590dd7aac07b6345bf79aaf70a5e9491ed3a9363e33d6d174280b54cade5710b
35,CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,2026-08-24T07:01:37.009Z,7387134cc4fb2eea2017e3f0781d2ff8861d24aa5cd0329f6487961180432c7b
36,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,2026-08-24T07:01:37.009Z,5edade5fed84cff2639d8cf2266e329d240dbff219fc98d9aeb49ec9cec876e9
37,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,2026-08-24T07:01:37.009Z,49cd5a053156737f801bc569c15b05307c1a99c851065c876ec5f2591287e026
38,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"\"#10-4 1/8\"\" x 9 1/2\"\" Premium Diagonal Seam Envelopes\"",113.328,9,0.2,35.415,2026-08-24T07:01:37.009Z,7fda2a3ebe8ce598e5900222b3edaf3cac020b2c326b91af772b4ab5fedfcb59
39,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,2026-08-24T07:01:37.009Z,3e04a2fc0afef5b8eadc811ec1bae44787953f3ffd1a7bf7c015be7a04168a26
40,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,2026-08-24T07:01:37.009Z,0ba3f8bdb26a959c1ada1af8f490513e1bf57f88f4b26aeaddff0e3588faa5fb
41,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,2026-08-24T07:01:37.009Z,ce6a6940d19c54d79a237ab72f51319f028c1dcd176dba7c0ea582bd86845daf
42,CA-2017-120999,9/10/2017,9/15/2017,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,2026-08-24T07:01:37.009Z,83943a9cf23b8d673704ccdff57a6c2436b9e2713eeeffa826834302b35e4e4d
43,CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894,2026-08-24T07:01:37.009Z,565e9496fcd7cc7222585444b1858c7f5507adef272c11118613e0923fbc269a
44,CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,2026-08-24T07:01:37.009Z,a4c5d2dfd7c6523994b046ebb940cb2c5b6ac9460834730b7258da16699f6886
45,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714,2026-08-24T07:01:37.009Z,53426246ce77bcb90b3f28602a8969ec56eed08346e5401086d7ca86caf9d6ba
46,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062,2026-08-24T07:01:37.009Z,0c9228d4bc7e20ca00649ac985231897db682ed89646adbab7fd2c140f987ed1
47,CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784,2026-08-24T07:01:37.009Z,422c77dfabeaa2c62adf9f283eb9c3420e68cb1fffe23213a4ab58117ac2b672
48,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,45,3,0,4.95,2026-08-24T07:01:37.009Z,b3ce2147ec0309e8c6999dd8b653566d085605ce6f12174a1f986fd6fda76d68
49,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104,2026-08-24T07:01:37.009Z,2a0cb78665e8da478a72cafd5b1f1422cdab4b4e33a829745727672d8b93c8f3
50,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634,2026-08-24T07:01:37.009Z,cfb25e3177840e383a194f480b582b351389a3125e95831dc7d26e07c8b713ba
51,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346,2026-08-24T07:01:37.009Z,e63b99a990cb2edda7bb51ffc763e7095ef0b538c4f153febdb07fdcd16e742b
52,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568,2026-08-24T07:01:37.009Z,33fd9a9708aa414bc9fe9b8ea048bd1275c9828c2cdb6ae89f9a214e197c322b
53,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981,2026-08-24T07:01:37.009Z,cb5961ed0755834924d9282788f4753c55bcf7bb171966648d205a3bba2c119c
54,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566,2026-08-24T07:01:37.009Z,8b909a6b3bcf5ce63b3e2ba3ec3394599b21f43e064c6239a0f98324bb5e34f2
55,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855,2026-08-24T07:01:37.009Z,c4a8a53f8fca9c88d682049eaa876bcf120f74642952d99ee82dba2d21ba5370
56,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14,2026-08-24T07:01:37.009Z,fcbca9ae896d0e1a8e974f41cb8d8438cbc60f677366d58c6c1962aa7c51febc
57,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552,2026-08-24T07:01:37.009Z,6fe36db7eccbe91b85f8858ff813d58e8bf9b7d06f2d3798aba9328e9a860c0c
58,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,2026-08-24T07:01:37.009Z,16c1b5521d9c7cf9c857021aef370baad68c3901ab4926f1eb81c78fb435f78b
59,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888,2026-08-24T07:01:37.009Z,87efd53aedbd362946f7e0343e334bd8338c8a64fdf1b778caa4a85e1e8b3615
60,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,30,2,0,3.3,2026-08-24T07:01:37.009Z,4bd492c8c989630362bb51e110d7fbbf0922593245a0b687894ea6da5f1e55f0
61,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,2026-08-24T07:01:37.009Z,a5642221f8a16419bcfb43301825d7b1535fc2a2407f2b411af0ff3f6ef1c9c7
62,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,2026-08-24T07:01:37.009Z,81da3ef5d40f20512f603415750815f5479a9eb474b8c40d40f888128c3fedca
63,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512,2026-08-24T07:01:37.009Z,0e443db51119369f25a52de870b1851ee37d70457ff63a3c3f8409b70d736be4
64,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"\"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8\"\" X 11\"\"\"",25.824,6,0.2,9.3612,2026-08-24T07:01:37.009Z,26534467f6b07372a3e30e3ff886ee015bfd9f229019c7674633641cee85278a
65,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631,2026-08-24T07:01:37.009Z,650aefd19106ce3d9dbb4a00fb1e39e8657047822fefdc0abfefd0175d780ff2
66,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328,2026-08-24T07:01:37.009Z,3f9538a9db14ee4629ace22438041489c5b055f29d7726da298f0a63ff1d0d76
67,US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,2026-08-24T07:01:37.009Z,03743cf9f153986b2194e02f90ce1e45c7f7ca0b60c3dc45c95738b16d5eb19c
68,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,2026-08-24T07:01:37.009Z,0cc786245add288d83419667500b7fac5262aa022ace6d2f18320ea33e841da4
69,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,2026-08-24T07:01:37.009Z,e45e6d813295c3d00349734456affcc7e2ca2cc818efc191fb683674e8e8b400
70,CA-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,2026-08-24T07:01:37.009Z,2a8503fbf438940237d71b91f6234895251613b3c0dc17bf879f58e35db4dc67
71,CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,2026-08-24T07:01:37.009Z,ccda1f5f889babbcfdff95b1969269befadd3676b01de096095ce14a5d1adc8f
72,CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"\"Telephone Message Books with Fax/Mobile Section, 5 1/2\"\" x 3 3/16\"\"\"",19.05,3,0,8.763,2026-08-24T07:01:37.009Z,bced282bd2a0426da4b047a4793b7ec00251b3475c3c52b536530970fb1ef725
73,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,2026-08-24T07:01:37.009Z,089a6616053828a051a03ed73e25c8ce90ae090fd84a974325bfd98a533a82aa
